doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_NEURO_008,陳柔賢,林口長庚紀念醫院,神經內科,神經內科,帕金森病、帕金森症、肌張力不全、肌躍動症、肉毒桿菌素注射治療、睡眠障礙、穿顱磁刺激術,
CGMH_LINKOU_NEURO_009,馮博裕,林口長庚紀念醫院,神經內科,神經內科,帕金森病、帕金森症、肌張力不全、步態障礙、失智症、動作障礙疾病、穿顱磁刺激術,
CGMH_LINKOU_NEURO_010,何偉民,林口長庚紀念醫院,神經內科,神經內科,年輕型記憶及語言障礙、阿茲海默症及退化性腦部疾病、額顳葉失智症、路易體失智症、癲癇症、腦中風、偏頭痛、巴金森氏症及動作障礙疾病。,
CGMH_LINKOU_NEURO_011,陳怡君,林口長庚紀念醫院,神經內科,神經內科,失智症及退化性腦部疾病、年輕型失智症、血管性失智症、認知功能障礙、腦中風、水腦症、腦部腫瘤,
CGMH_LINKOU_NEURO_012,吳雅媛,林口長庚紀念醫院,神經內科,神經內科,失智症及退化性腦部疾病、認知功能障礙、腦中風、血管性失智症、一般神經疾病,
CGMH_LINKOU_NEURO_013,徐文俊,林口長庚紀念醫院,神經內科,神經內科,神經心理學、失智症、一般神經疾病、腦血管疾病、公共衛生,
CGMH_LINKOU_NEURO_014,陳與潔,林口長庚紀念醫院,神經內科,神經內科,"神經肌肉疾病, 頭痛,神經免疫疾病",
CGMH_LINKOU_NEURO_015,劉采薇,林口長庚紀念醫院,神經內科,神經內科,"神經肌肉疾病, 頭痛, 肉毒桿菌注射,神經免疫疾病",
CGMH_LINKOU_NEURO_016,張君瑋,林口長庚紀念醫院,神經內科,神經內科,"一般神經疾病, 神經肌肉疾病",
CGMH_LINKOU_NEURO_017,廖洺鋒,林口長庚紀念醫院,神經內科,神經內科,週邊神經疾病、神經性疼痛,
CGMH_LINKOU_NEURO_018,張國軒,林口長庚紀念醫院,神經內科,神經內科,多發性硬化症、泛視神經脊髓炎、巴金森氏病、亨丁頓氏舞蹈症、脊髓小腦萎縮症、神經退化性疾病、遺傳性神經病變、幹細胞醫學、細胞生物學、神經肌肉超音波,
CGMH_LINKOU_NEURO_019,郭弘周,林口長庚紀念醫院,神經內科,神經內科,神經肌肉疾病、感染性神經疾病、粒腺體疾病、紫質症,
CGMH_LINKOU_NEURO_020,吳逸如,林口長庚紀念醫院,神經內科,神經內科,巴金森氏症、肉毒桿菌素注射、肌張力不全、舞蹈症、顫抖症、脊髓小腦共濟失調症、遺傳性神經退化疾病、罕見疾病、神經肌肉疾病,
CGMH_LINKOU_NEURO_021,朱俊哲,林口長庚紀念醫院,神經內科,神經內科,神經肌肉疾病、神經毒物,
